source,text,url,sentiment_label,sentiment_score
The Verge,"SB 53, the landmark AI transparency bill, is now law in California. Senate Bill 53, the landmark AI transparency bill that has divided AI companies and made headlines for months, is now officially law in California.  On Monday, California governor Gavin Newsom signed the “Transparency in Frontier Artificial Intelligence Act,”…",https://www.theverge.com/ai-artificial-intelligence/787918/sb-53-the-landmark-ai-transparency-bill-is-now-law-in-california,Positive,0.7
Wired,AI Is the Bubble to Burst Them All. I talked to the scholars who literally wrote the book on tech bubbles—and applied their test.,https://www.wired.com/story/ai-bubble-will-burst/,Negative,-0.9
Wired,"AI Is Changing What High School STEM Students Study. A degree in computer science used to promise a cozy career in tech. Now, students’ ambitions are shaped by AI, in fields that blend computing with analysis, interpretation, and data.",https://www.wired.com/story/stem-high-school-students-artficial-intelligence/,Positive,0.4
BBC News,Tech billionaires seem to be doom prepping. Should we all be worried?. The debate is ramping up about what happens if - or when - computer intelligence overtakes humans,https://www.bbc.com/news/articles/cly17834524o,Negative,-0.8
BBC News,How China is challenging Nvidia's AI chip dominance. Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia?,https://www.bbc.com/news/articles/cgmz2vm3yv8o,Neutral,0.0
The Verge,"Microsoft is giving Copilot AI faces you can chat with. Microsoft is trying to make Copilot more approachable by giving the AI assistant an animated face to talk with. The experimental “Portraits” feature in Copilot Labs is currently available in the US, UK, and Canada, and provides 40 stylized human avatars that …",https://www.theverge.com/news/788741/microsoft-copilot-labs-ai-portraits-experiment-human-avatar,Positive,0.75
Wired,"The Argument for Letting AI Burn It All Down. When the AI bubble bursts, the nerds will do their best work.",https://www.wired.com/story/ai-normal-after-ai-plateaus/,Negative,-0.8
Yahoo Entertainment,Market Movers: The rise of China's AI. Chinese tech stocks like Alibaba (BABA) and Tencent (0700.HK) have been on the up as optimism about developments they're making in Artificial Intelligence...,https://finance.yahoo.com/video/market-movers-rise-chinas-ai-122822192.html,Positive,0.85
Wired,"This Startup Wants to Spark a US DeepSeek Moment. With the US falling behind on open source models, one startup has a bold idea for democratizing AI: let anyone run reinforcement learning.",https://www.wired.com/story/prime-intellect-startup-us-deepseek-moment/,Positive,0.6
Gizmodo.com,"AI Won’t Replace Jobs, but Tech Bros Want You to Be Afraid It Will. He also thinks the AI bubble burst is going to make 2008 feel like ""a golden age.""",https://gizmodo.com/ai-wont-replace-jobs-tech-bros-want-you-terrified-2000670808,Negative,-0.9
Wired,"‘Sovereign AI’ Has Become a New Front in the US-China Tech War. OpenAI has announced “AI sovereignty"" partnerships with governments around the world, but can proprietary models compete with Beijing’s open source offerings?",https://www.wired.com/story/openai-sovereign-ai-us-china-tech-war/,Negative,-0.4
Gizmodo.com,"Ledger Wants Its Latest Crypto Wallet to Take on Sam Altman’s Eyeball-Scanning Orb. As artificial intelligence bots and deepfakes make it harder to tell who is real and who isn't, crypto firms are jockeying to sell potential solutions.",https://gizmodo.com/ledger-wants-its-latest-crypto-wallet-to-take-on-sam-altmans-eyeball-scanning-orb-2000676617,Negative,-0.3
