source,text,url,predicted_sentiment,sentiment_score
Newsdata.io,"U.S. container imports fall in October amid tariff-driven caution. U.S. imports of containerized goods fell 7.5% year-over-year in October, as shipments from China plunged 16.3% amid importer caution over President Donald Trump’s evolving tariff policies, supply chain technology provider Descartes said today.",https://www.staradvertiser.com/2025/11/10/breaking-news/u-s-container-imports-fall-in-october-amid-tariff-driven-caution/,Negative,-0.75
Newsdata.io,"Is JetBlue Really Buying Spirit Airlines?. JetBlue and Spirit Airlines' attempted merger in 2024 fell through, but rumors of another merger attempt keep circulating given Spirit's continued issues.",https://www.slashgear.com/2018569/jetblue-spirit-airlines-acquisition/,Neutral,-0.15
Newsdata.io,Oregon Health Authority applies for $1 billion in rural grant funding. Federal funding support is being sought to improve healthcare provisions for rural communities in Oregon.,https://www.heraldandnews.com/oregon-health-authority-applies-for-1-billion-in-rural-grant-funding/article_f6aa0c00-3e6c-4726-b70d-cab41ca35d8c.html,Positive,0.85
Newsdata.io,"Deltek Celebrates the 18th Annual Most Valuable Project Award Winners at Deltek ProjectCon 2025. Global leaders across architecture, engineering, construction, consulting, and government contracting recognized for innovation using Deltek solutions HERNDON, Va., Nov. 10, 2025 /PRNewswire/ -- Deltek, the leading global provider of software and solutions for project-based businesses,...",https://www.prnewswire.com/news-releases/deltek-celebrates-the-18th-annual-most-valuable-project-award-winners-at-deltek-projectcon-2025-302610733.html,Positive,0.85
Newsdata.io,"Against all odds, UMaine women’s soccer is back in NCAA tournament. The Black Bears overcame a string of injuries and won the America East tournament title in dramatic fashion to punch their NCAA ticket.",https://www.bangordailynews.com/2025/11/10/sports/college-soccer/umaine-womens-soccer-champions-n6hjn1me0n/,Positive,0.9
Newsdata.io,You Can Get the Microsoft Surface Laptop 3 on Sale for Under $400 Right Now. It's available refurbished at a fraction of its original price.,https://lifehacker.com/tech/microsofts-surface-laptop-3-stacksocial-sale-november-2025,Positive,0.85
Newsdata.io,"Qatar Foundation: Leading The Way In Building A Sustainable Future. (MENAFN - Gulf Times)As global efforts intensify to combat climate change, Qatar Foundation continues to lead the charge in embedding sustainability into the nation's education, research, and ...",https://menafn.com/1110324167/Qatar-Foundation-Leading-The-Way-In-Building-A-Sustainable-Future,Positive,0.85
Newsdata.io,"Riyadh To Host Global AI Show 2026: Where Minds And Machines Meet. (MENAFN - EIN Presswire)ABU DHABI, UNITED ARAB EMIRATES, November 10, 2025 /EINPresswire / -- Riyadh is set to become the global stage for modern artificial intelligence with the upcoming Global ...",https://menafn.com/1110324166/Riyadh-To-Host-Global-AI-Show-2026-Where-Minds-And-Machines-Meet,Positive,0.75
Newsdata.io,"Ciena (CIEN): Rethinking Valuation After Key Wins With Fidium and Colt in Next-Gen Fiber Networks. Recent client wins are putting Ciena (CIEN) in the spotlight, as both Fidium and Colt are implementing its optical technology to drive next-generation fiber network expansion and performance across key US and transatlantic routes. See our latest analysis for Ciena. Ciena’s momentum is hard to miss right now, with client wins like Fidium and Colt highlighting its critical role in powering the future of global connectivity. In parallel with these advances, the stock’s 1-day share price return...",https://ca.finance.yahoo.com/news/ciena-cien-rethinking-valuation-key-231441898.html,Positive,0.88
Newsdata.io,"Scribe raises $75M for its process documentation platform. Scribe, a startup that helps workers use business applications more efficiently, has closed a $75 million funding round led by StepStone. TechCrunch reported today that the Series C investment also included the participation of Redpoint Ventures, Tiger Global and other returning backers. It values Scribe at $1.3 billion. That’s reportedly five times what the company [...]The post Scribe raises $75M for its process documentation platform appeared first on SiliconANGLE.",https://siliconangle.com/2025/11/10/scribe-raises-75m-process-documentation-platform/,Positive,0.9
